"","subject","activity_label","feature_label","feature_mean"
"175",25,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.277995411384615
"176",26,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.272691394545455
"177",27,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.265770253921569
"178",28,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.262005841764706
"179",29,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.265423066877551
"180",30,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.271415642261538
"181",1,"LAYING","tBodyAcc-mean()-Y",-0.0405139534294
"182",2,"LAYING","tBodyAcc-mean()-Y",-0.0181587397583333
"183",3,"LAYING","tBodyAcc-mean()-Y",-0.0189556785048387
"184",4,"LAYING","tBodyAcc-mean()-Y",-0.0150031841055556
"185",5,"LAYING","tBodyAcc-mean()-Y",-0.0183042123269231
"186",6,"LAYING","tBodyAcc-mean()-Y",-0.0102529170561404
"187",7,"LAYING","tBodyAcc-mean()-Y",-0.0204411516884615
"188",8,"LAYING","tBodyAcc-mean()-Y",-0.0212281733881481
"189",9,"LAYING","tBodyAcc-mean()-Y",-0.020526821662
"190",10,"LAYING","tBodyAcc-mean()-Y",-0.024294484137931
"191",11,"LAYING","tBodyAcc-mean()-Y",-0.0176598052315789
"192",12,"LAYING","tBodyAcc-mean()-Y",-0.0175203917146667
"193",13,"LAYING","tBodyAcc-mean()-Y",-0.020440454366129
"194",14,"LAYING","tBodyAcc-mean()-Y",-0.0113424652490196
"195",15,"LAYING","tBodyAcc-mean()-Y",-0.0166296542054167
"196",16,"LAYING","tBodyAcc-mean()-Y",-0.0166103510562857
"197",17,"LAYING","tBodyAcc-mean()-Y",-0.0168462006729577
"198",18,"LAYING","tBodyAcc-mean()-Y",-0.0173937684615385
"199",19,"LAYING","tBodyAcc-mean()-Y",-0.0171426864421687
"200",20,"LAYING","tBodyAcc-mean()-Y",-0.0144406281132353
"201",21,"LAYING","tBodyAcc-mean()-Y",-0.0184233048415556
"202",22,"LAYING","tBodyAcc-mean()-Y",-0.0142629864502778
"203",23,"LAYING","tBodyAcc-mean()-Y",-0.0216553835833333
"204",24,"LAYING","tBodyAcc-mean()-Y",-0.0173555210111111
"205",25,"LAYING","tBodyAcc-mean()-Y",-0.0188943663671233
"206",26,"LAYING","tBodyAcc-mean()-Y",-0.0191895728026316
"207",27,"LAYING","tBodyAcc-mean()-Y",-0.0179867611216216
"208",28,"LAYING","tBodyAcc-mean()-Y",-0.0167537858225
"209",29,"LAYING","tBodyAcc-mean()-Y",-0.0171965484202899
"210",30,"LAYING","tBodyAcc-mean()-Y",-0.0194494098614286
"211",1,"SITTING","tBodyAcc-mean()-Y",-0.00130828765170213
"212",2,"SITTING","tBodyAcc-mean()-Y",-0.0156879937282609
"213",3,"SITTING","tBodyAcc-mean()-Y",-0.00350299841730769
"214",4,"SITTING","tBodyAcc-mean()-Y",-0.007163065158
"215",5,"SITTING","tBodyAcc-mean()-Y",-0.00990083527045455
"216",6,"SITTING","tBodyAcc-mean()-Y",-0.0145911615290909
"217",7,"SITTING","tBodyAcc-mean()-Y",-0.01461097580375
"218",8,"SITTING","tBodyAcc-mean()-Y",-0.00672550621304348
"219",9,"SITTING","tBodyAcc-mean()-Y",-0.02701677698
"220",10,"SITTING","tBodyAcc-mean()-Y",-0.015042681852037
"221",11,"SITTING","tBodyAcc-mean()-Y",-0.0149195616754717
"222",12,"SITTING","tBodyAcc-mean()-Y",-0.0157892988523529
"223",13,"SITTING","tBodyAcc-mean()-Y",-0.00587732936326531
"224",14,"SITTING","tBodyAcc-mean()-Y",-0.00870565463888889
"225",15,"SITTING","tBodyAcc-mean()-Y",-0.0117188472271186
"226",16,"SITTING","tBodyAcc-mean()-Y",-0.0102497939956522
"227",17,"SITTING","tBodyAcc-mean()-Y",-0.014156274084375
"228",18,"SITTING","tBodyAcc-mean()-Y",-0.0128691279736842
"229",19,"SITTING","tBodyAcc-mean()-Y",-0.016739260030137
"230",20,"SITTING","tBodyAcc-mean()-Y",-0.0147229305131818
"231",21,"SITTING","tBodyAcc-mean()-Y",-0.0144009705494118
"232",22,"SITTING","tBodyAcc-mean()-Y",-0.0123468446419355
"233",23,"SITTING","tBodyAcc-mean()-Y",-0.0133945015676471
"234",24,"SITTING","tBodyAcc-mean()-Y",-0.0131255097938235
"235",25,"SITTING","tBodyAcc-mean()-Y",-0.0147696808030769
"236",26,"SITTING","tBodyAcc-mean()-Y",-0.00713364541358974
"237",27,"SITTING","tBodyAcc-mean()-Y",-0.0155269799285714
"238",28,"SITTING","tBodyAcc-mean()-Y",-0.0185404441258333
"239",29,"SITTING","tBodyAcc-mean()-Y",-0.016630680375
"240",30,"SITTING","tBodyAcc-mean()-Y",-0.00804731295322581
"241",1,"STANDING","tBodyAcc-mean()-Y",-0.0161375901037736
"242",2,"STANDING","tBodyAcc-mean()-Y",-0.0184208270166667
"243",3,"STANDING","tBodyAcc-mean()-Y",-0.0143376555065574
"244",4,"STANDING","tBodyAcc-mean()-Y",-0.00948911098553571
"245",5,"STANDING","tBodyAcc-mean()-Y",-0.00700418554517857
"246",6,"STANDING","tBodyAcc-mean()-Y",-0.0181236327175439
"247",7,"STANDING","tBodyAcc-mean()-Y",-0.0145740341037736
"248",8,"STANDING","tBodyAcc-mean()-Y",-0.0148113067148148
"249",9,"STANDING","tBodyAcc-mean()-Y",-0.0200454954022222
"250",10,"STANDING","tBodyAcc-mean()-Y",-0.0155418603409091
"251",11,"STANDING","tBodyAcc-mean()-Y",-0.0171990886595745
"252",12,"STANDING","tBodyAcc-mean()-Y",-0.0169002543196721
"253",13,"STANDING","tBodyAcc-mean()-Y",-0.0167891993964912
"254",14,"STANDING","tBodyAcc-mean()-Y",-0.01520781344
"255",15,"STANDING","tBodyAcc-mean()-Y",-0.0183516360396226
"256",16,"STANDING","tBodyAcc-mean()-Y",-0.0165999672935897
"257",17,"STANDING","tBodyAcc-mean()-Y",-0.0174120064169231
"258",18,"STANDING","tBodyAcc-mean()-Y",-0.0166353518150685
"259",19,"STANDING","tBodyAcc-mean()-Y",-0.0154244056945205
"260",20,"STANDING","tBodyAcc-mean()-Y",-0.0180695049161644
"261",21,"STANDING","tBodyAcc-mean()-Y",-0.0167084730205618
"262",22,"STANDING","tBodyAcc-mean()-Y",-0.0158563207496825
"263",23,"STANDING","tBodyAcc-mean()-Y",-0.0177475547867647
"264",24,"STANDING","tBodyAcc-mean()-Y",-0.0144785340348986
"265",25,"STANDING","tBodyAcc-mean()-Y",-0.0163569730274324
"266",26,"STANDING","tBodyAcc-mean()-Y",-0.0166608306652703
"267",27,"STANDING","tBodyAcc-mean()-Y",-0.016593236445
"268",28,"STANDING","tBodyAcc-mean()-Y",-0.0172635124672152
"269",29,"STANDING","tBodyAcc-mean()-Y",-0.0172605869061538
"270",30,"STANDING","tBodyAcc-mean()-Y",-0.0170163887813559
"271",1,"WALKING","tBodyAcc-mean()-Y",-0.0173838185273684
"272",2,"WALKING","tBodyAcc-mean()-Y",-0.0185949199145763
"273",3,"WALKING","tBodyAcc-mean()-Y",-0.0171767844203448
"274",4,"WALKING","tBodyAcc-mean()-Y",-0.0148399475341667
"275",5,"WALKING","tBodyAcc-mean()-Y",-0.0172850317482679
"276",6,"WALKING","tBodyAcc-mean()-Y",-0.0168954189082456
"277",7,"WALKING","tBodyAcc-mean()-Y",-0.018653665345614
"278",8,"WALKING","tBodyAcc-mean()-Y",-0.0186628865310417
"279",9,"WALKING","tBodyAcc-mean()-Y",-0.0180891971284423
"280",10,"WALKING","tBodyAcc-mean()-Y",-0.017022351190566
"281",11,"WALKING","tBodyAcc-mean()-Y",-0.0166475833623729
"282",12,"WALKING","tBodyAcc-mean()-Y",-0.015560927606
"283",13,"WALKING","tBodyAcc-mean()-Y",-0.0185660651947368
"284",14,"WALKING","tBodyAcc-mean()-Y",-0.0217785380966102
"285",15,"WALKING","tBodyAcc-mean()-Y",-0.0170809740090741
"286",16,"WALKING","tBodyAcc-mean()-Y",-0.0204286929452941
"287",17,"WALKING","tBodyAcc-mean()-Y",-0.0184875403339344
"288",18,"WALKING","tBodyAcc-mean()-Y",-0.0178023631866071
"289",19,"WALKING","tBodyAcc-mean()-Y",-0.0191773587903846
"290",20,"WALKING","tBodyAcc-mean()-Y",-0.021199992245098
"291",21,"WALKING","tBodyAcc-mean()-Y",-0.0181610317526923
"292",22,"WALKING","tBodyAcc-mean()-Y",-0.0167213607957174
"293",23,"WALKING","tBodyAcc-mean()-Y",-0.0183618711932203
"294",24,"WALKING","tBodyAcc-mean()-Y",-0.0225446400534483
"295",25,"WALKING","tBodyAcc-mean()-Y",-0.0186477624716216
"296",26,"WALKING","tBodyAcc-mean()-Y",-0.0154259586949153
"297",27,"WALKING","tBodyAcc-mean()-Y",-0.0166478783221912
"298",28,"WALKING","tBodyAcc-mean()-Y",-0.0156759722981481
"299",29,"WALKING","tBodyAcc-mean()-Y",-0.0162915600588679
"300",30,"WALKING","tBodyAcc-mean()-Y",-0.0175880385730769
"301",1,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00991850461020408
"302",2,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0226614158361702
"303",3,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0193554079328571
"304",4,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00980200850666667
"305",5,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00850107533191489
"306",6,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.019536840063125
"307",7,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0166332372978723
"308",8,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0211058674973684
"309",9,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0203994269075476
"310",10,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0200050770710526
"311",11,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0178097721219565
"312",12,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.018084266865793
"313",13,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0143723839108511
"314",14,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0200141413657778
"315",15,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00563047804309524
"316",16,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0183898583787234
"317",17,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0167359404347826
"318",18,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0168666920221818
"319",19,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0145942275069487
"320",20,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00964120773155556
"321",21,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0173195390157778
"322",22,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0197999371686389
"323",23,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0162111457238889
"324",24,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0145730348310909
"325",25,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0210170522987931
"326",26,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.01262580966778
"327",27,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0135564467159091
"328",28,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0220230465913043
"329",29,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.01494121505625
"330",30,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0174383900204839
"331",1,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0239531492643396
"332",2,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0214121132045833
"333",3,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0324109410555932
"334",4,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0319804295729615
"335",5,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0325269755153191
"336",6,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0272425385070588
"337",7,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0275639005607843
"338",8,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0282415136341463
"339",9,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0195101099975714
"340",10,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0143854920340426
"341",11,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0303157822055556
"342",12,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0263574903403846
"343",13,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0277392253910909
"344",14,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0204388180024074
"345",15,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0287523860708333
"346",16,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0143654945011765
"347",17,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0228645614308333
"348",18,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0222060684378914
"349",19,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0303986615775
"350",20,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0282258047588235
"351",21,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0237218695148936
"352",22,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0268622561133333
"353",23,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0323844029237255
"354",24,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0251979434569492
"355",25,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0269863524264615
"356",26,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0281633797398182
"357",27,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0200953324078431
"358",28,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0279443943478431
"359",29,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0299465312326531
"360",30,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0253311698786154
"361",1,"LAYING","tBodyAcc-mean()-Z",-0.11320355358
"362",2,"LAYING","tBodyAcc-mean()-Z",-0.107245610416667
"363",3,"LAYING","tBodyAcc-mean()-Z",-0.101300477506452
"364",4,"LAYING","tBodyAcc-mean()-Z",-0.110688150314815
"365",5,"LAYING","tBodyAcc-mean()-Z",-0.107937603673077
"366",6,"LAYING","tBodyAcc-mean()-Z",-0.133119570368421
"367",7,"LAYING","tBodyAcc-mean()-Z",-0.101361036576923
"368",8,"LAYING","tBodyAcc-mean()-Z",-0.102245365611111
"369",9,"LAYING","tBodyAcc-mean()-Z",-0.10754972144
"370",10,"LAYING","tBodyAcc-mean()-Z",-0.117168642362069
"371",11,"LAYING","tBodyAcc-mean()-Z",-0.108786578070175
